ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,36103,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,72001,ADJUNTAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00602,72005,AGUADA,PR,0.000000000,0.001012146,0.000000000,0.000076138
00602,72003,AGUADA,PR,0.999412407,0.998987854,1.000000000,0.999390894
00602,72117,AGUADA,PR,0.000587593,0.000000000,0.000000000,0.000532968
00603,72005,AGUADILLA,PR,0.999346476,0.999099099,1.000000000,0.999352461
00603,72099,AGUADILLA,PR,0.000653524,0.000900901,0.000000000,0.000647539
00604,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,72011,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,72017,ARECIBO,PR,0.000716574,0.000000000,0.000000000,0.000631642
00612,72054,ARECIBO,PR,0.003119204,0.000399042,0.000000000,0.002786654
00612,72013,ARECIBO,PR,0.990979599,0.998802873,0.997076023,0.991862971
00612,72141,ARECIBO,PR,0.000927331,0.000399042,0.002923977,0.000928885
00612,72065,ARECIBO,PR,0.004257292,0.000399042,0.000000000,0.003789849
00613,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,72054,BARCELONETA,PR,0.030377668,0.001538462,0.000000000,0.028435212
00617,72091,BARCELONETA,PR,0.042236818,0.041538462,0.000000000,0.041716329
00617,72017,BARCELONETA,PR,0.927385514,0.956923077,1.000000000,0.929848459
00622,72023,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,72097,CABO ROJO,PR,0.000826709,0.000000000,0.000000000,0.000771559
00623,72023,CABO ROJO,PR,0.999173291,1.000000000,1.000000000,0.999228441
00624,72111,PENUELAS,PR,0.998941239,0.979746835,1.000000000,0.997997497
00624,72113,PENUELAS,PR,0.001058761,0.000000000,0.000000000,0.001001252
00624,72059,PENUELAS,PR,0.000000000,0.020253165,0.000000000,0.001001252
00627,72081,CAMUY,PR,0.001396091,0.021346470,0.015267176,0.002693165
00627,72027,CAMUY,PR,0.998603909,0.978653530,0.984732824,0.997306835
00631,72081,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121,SABANA GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00638,72039,CIALES,PR,0.999377044,0.990228013,1.000000000,0.998968312
00638,72107,CIALES,PR,0.000622956,0.009771987,0.000000000,0.001031688
00641,72113,UTUADO,PR,0.027609223,0.004622496,0.288235294,0.030353974
00641,72141,UTUADO,PR,0.972390777,0.995377504,0.711764706,0.969646026
00646,72051,DORADO,PR,0.969039428,0.986542443,1.000000000,0.970369001
00646,72137,DORADO,PR,0.004101614,0.005175983,0.000000000,0.004127395
00646,72143,DORADO,PR,0.017729558,0.006211180,0.000000000,0.016879197
00646,72135,DORADO,PR,0.009129399,0.002070393,0.000000000,0.008624407
00647,72121,ENSENADA,PR,0.008304696,0.000000000,0.000000000,0.008037694
00647,72055,ENSENADA,PR,0.991695304,1.000000000,1.000000000,0.991962306
00650,72013,FLORIDA,PR,0.138738739,0.006329114,0.172413793,0.135262332
00650,72054,FLORIDA,PR,0.851891892,0.993670886,0.827586207,0.855673697
00650,72017,FLORIDA,PR,0.004504505,0.000000000,0.000000000,0.004357678
00650,72091,FLORIDA,PR,0.004864865,0.000000000,0.000000000,0.004706292
00652,72013,GARROCHALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00653,72055,GUANICA,PR,0.996646546,1.000000000,1.000000000,0.996837945
00653,72153,GUANICA,PR,0.003353454,0.000000000,0.000000000,0.003162055
00656,72059,GUAYANILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00659,72065,HATILLO,PR,0.991734847,0.997635934,1.000000000,0.992201374
00659,72013,HATILLO,PR,0.008265153,0.002364066,0.000000000,0.007798626
00660,72097,HORMIGUEROS,PR,0.004180020,0.003003003,0.000000000,0.004073587
00660,72067,HORMIGUEROS,PR,0.995819980,0.996996997,1.000000000,0.995926413
00662,72071,ISABELA,PR,0.986894905,0.990469208,1.000000000,0.987289527
00662,72005,ISABELA,PR,0.002438157,0.002932551,0.000000000,0.002438910
00662,72115,ISABELA,PR,0.001117489,0.000733138,0.000000000,0.001078749
00662,72099,ISABELA,PR,0.009549449,0.005865103,0.000000000,0.009192815
00664,72141,JAYUYA,PR,0.002391709,0.017391304,0.040404040,0.004154448
00664,72073,JAYUYA,PR,0.997608291,0.982608696,0.959595960,0.995845552
00667,72121,LAJAS,PR,0.000334672,0.002283105,0.000000000,0.000422208
00667,72079,LAJAS,PR,0.999665328,0.997716895,1.000000000,0.999577792
00669,72081,LARES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00670,72083,LAS MARIAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00674,72101,MANATI,PR,0.011402246,0.002275313,0.000000000,0.010388275
00674,72145,MANATI,PR,0.012841923,0.027872582,0.031055901,0.014502443
00674,72091,MANATI,PR,0.975755831,0.969852105,0.968944099,0.975109283
00676,72131,MOCA,PR,0.001139542,0.000000000,0.000000000,0.001077903
00676,72099,MOCA,PR,0.998860458,1.000000000,1.000000000,0.998922097
00677,72117,RINCON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00678,72115,QUEBRADILLAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00680,72011,MAYAGUEZ,PR,0.000047156,0.000000000,0.000000000,0.000039998
00680,72097,MAYAGUEZ,PR,0.999811374,0.999620637,1.000000000,0.999800008
00680,72023,MAYAGUEZ,PR,0.000000000,0.000379363,0.000000000,0.000039998
00680,72067,MAYAGUEZ,PR,0.000141469,0.000000000,0.000000000,0.000119995
00681,72097,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00682,72097,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00683,72121,SAN GERMAN,PR,0.047731198,0.002244669,0.027667984,0.044446045
00683,72097,SAN GERMAN,PR,0.000157011,0.000000000,0.000000000,0.000144071
00683,72067,SAN GERMAN,PR,0.010598210,0.002244669,0.007905138,0.010012966
00683,72079,SAN GERMAN,PR,0.000471032,0.000000000,0.000000000,0.000432214
00683,72125,SAN GERMAN,PR,0.940257497,0.994388328,0.964426877,0.944172309
00683,72023,SAN GERMAN,PR,0.000785053,0.001122334,0.000000000,0.000792393
00685,72131,SAN SEBASTIAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00687,72091,MOROVIS,PR,0.026120541,0.002421308,0.000000000,0.024956471
00687,72145,MOROVIS,PR,0.001016363,0.000000000,0.000000000,0.000967305
00687,72143,MOROVIS,PR,0.000406545,0.000000000,0.000000000,0.000386922
00687,72101,MOROVIS,PR,0.972456550,0.997578692,1.000000000,0.973689302
00688,72013,SABANA HOYOS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00690,72005,SAN ANTONIO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00692,72143,VEGA ALTA,PR,0.992383916,1.000000000,1.000000000,0.992948135
00692,72145,VEGA ALTA,PR,0.006551470,0.000000000,0.000000000,0.006066121
00692,72051,VEGA ALTA,PR,0.000327573,0.000000000,0.000000000,0.000303306
00692,72101,VEGA ALTA,PR,0.000737040,0.000000000,0.000000000,0.000682439
00693,72145,VEGA BAJA,PR,0.985244041,1.000000000,1.000000000,0.986362119
00693,72091,VEGA BAJA,PR,0.012021463,0.000000000,0.000000000,0.011110581
00693,72101,VEGA BAJA,PR,0.002682902,0.000000000,0.000000000,0.002479615
00693,72143,VEGA BAJA,PR,0.000051594,0.000000000,0.000000000,0.000047685
00694,72145,VEGA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00698,72059,YAUCO,PR,0.001573850,0.036966825,0.024539877,0.004077984
00698,72153,YAUCO,PR,0.996973366,0.963033175,0.975460123,0.994581308
00698,72121,YAUCO,PR,0.001452785,0.000000000,0.000000000,0.001340707
00703,72041,AGUAS BUENAS,PR,0.147390691,0.021505376,0.000000000,0.141586959
00703,72007,AGUAS BUENAS,PR,0.852609309,0.978494624,1.000000000,0.858413041
00704,72123,AGUIRRE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00705,72009,AIBONITO,PR,0.998974359,0.996368039,1.000000000,0.998744149
00705,72035,AIBONITO,PR,0.001025641,0.003631961,0.000000000,0.001255851
00707,72095,MAUNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00714,72015,ARROYO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00715,72113,MERCEDITA,PR,0.785714286,0.970684039,1.000000000,0.817391304
00715,72075,MERCEDITA,PR,0.214285714,0.029315961,0.000000000,0.182608696
00716,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00717,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00718,72103,NAGUABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00719,72019,NARANJITO,PR,0.011737477,0.107843137,0.142857143,0.018215499
00719,72127,NARANJITO,PR,0.002810382,0.000000000,0.000000000,0.002624267
00719,72105,NARANJITO,PR,0.985452141,0.892156863,0.857142857,0.979160235
00720,72075,OROCOVIS,PR,0.114724331,0.024691358,0.000000000,0.108739366
00720,72107,OROCOVIS,PR,0.885275669,0.975308642,1.000000000,0.891260634
00721,72119,PALMER,PR,1.000000000,1.000000000,1.000000000,1.000000000
00723,72025,PATILLAS,PR,0.163689039,0.006269592,0.000000000,0.154160363
00723,72109,PATILLAS,PR,0.836310961,0.993730408,1.000000000,0.845839637
00725,72127,CAGUAS,PR,0.000695701,0.000000000,0.000000000,0.000614081
00725,72063,CAGUAS,PR,0.007026576,0.001011804,0.009345794,0.006539961
00725,72007,CAGUAS,PR,0.004939474,0.010455312,0.010514019,0.005588136
00725,72041,CAGUAS,PR,0.000208710,0.000000000,0.000000000,0.000184224
00725,72025,CAGUAS,PR,0.986781689,0.988532884,0.977803738,0.986705149
00725,72129,CAGUAS,PR,0.000347850,0.000000000,0.002336449,0.000368449
00726,72025,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00727,72025,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00728,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00729,72063,CANOVANAS,PR,0.003127337,0.000000000,0.000000000,0.002914344
00729,72031,CANOVANAS,PR,0.014344959,0.000000000,0.146496815,0.014825139
00729,72087,CANOVANAS,PR,0.136379088,0.083877996,0.101910828,0.132982767
00729,72029,CANOVANAS,PR,0.846148616,0.916122004,0.751592357,0.849277750
00730,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00731,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00732,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00733,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00735,72053,CEIBA,PR,0.006631109,0.000000000,0.000000000,0.006332599
00735,72037,CEIBA,PR,0.992648119,1.000000000,1.000000000,0.992979075
00735,72119,CEIBA,PR,0.000720773,0.000000000,0.000000000,0.000688326
