STATE,AREA,COUNTY_ZIP3
AK,1,995
AK,2,996
AK,2,997
AK,3,998
AK,3,999
AL,1,Calhoun
AL,2,Lee
AL,3,Bibb
AL,3,Blount
AL,3,Chilton
AL,3,Jefferson
AL,3,St. Clair
AL,3,Shelby
AL,3,Walker
AL,4,Russell
AL,5,Lawrence
AL,5,Morgan
AL,6,Geneva
AL,6,Henry
AL,6,Houston
AL,7,Colbert
AL,7,Lauderdale
AL,8,Etowah
AL,9,Limestone
AL,9,Madison
AL,10,Mobile
AL,11,Autauga
AL,11,Elmore
AL,11,Lowndes
AL,11,Montgomery
AL,12,Greene
AL,12,Hale
AL,12,Tuscaloosa
AL,13,Baldwin
AL,13,Barbour
AL,13,Bullock
AL,13,Butler
AL,13,Chambers
AL,13,Cherokee
AL,13,Choctaw
AL,13,Clarke
AL,13,Clay
AL,13,Cleburne
AL,13,Coffee
AL,13,Conecuh
AL,13,Coosa
AL,13,Covington
AL,13,Crenshaw
AL,13,Cullman
AL,13,Dale
AL,13,Dallas
AL,13,DeKalb
AL,13,Escambia
AL,13,Fayette
AL,13,Franklin
AL,13,Jackson
AL,13,Lamar
AL,13,Macon
AL,13,Marion
AL,13,Marengo
AL,13,Marshall
AL,13,Monroe
AL,13,Perry
AL,13,Pickens
AL,13,Pike
AL,13,Randolph
AL,13,Sumter
AL,13,Talladega
AL,13,Tallapoosa
AL,13,Washington
AL,13,Wilcox
AL,13,Winston
AR,1,Cleburne
AR,1,Lonoke
AR,1,Pulaski
AR,1,Yell
AR,1,Conway
AR,1,Perry
AR,1,Saline
AR,1,Faulkner
AR,1,Pope
AR,1,Van Buren
AR,1,Grant
AR,1,Prairie
AR,1,White
AR,2,Clay
AR,2,Fulton
AR,2,Jackson
AR,2,Randolph
AR,2,Woodruff
AR,2,Craighead
AR,2,Greene
AR,2,Lawrence
AR,2,Sharp
AR,2,Crittenden
AR,2,Independence
AR,2,Mississippi
AR,2,St. Francis
AR,2,Cross
AR,2,Izard
AR,2,Poinsett
AR,2,Stone
AR,3,Baxter
AR,3,Madison
AR,3,Washington
AR,3,Benton
AR,3,Marion
AR,3,Boone
AR,3,Newton
AR,3,Carroll
AR,3,Searcy
AR,4,Clark
AR,4,Pike
AR,4,Garland
AR,4,Hot Spring
AR,4,Montgomery
AR,5,Arkansas
AR,5,Cleveland
AR,5,Jefferson
AR,5,Phillips
AR,5,Ashley
AR,5,Dallas
AR,5,Lee
AR,5,Bradley
AR,5,Desha
AR,5,Lincoln
AR,5,Chicot
AR,5,Drew
AR,5,Monroe
AR,6,Calhoun
AR,6,Lafayette
AR,6,Ouachita
AR,6,Columbia
AR,6,Little River
AR,6,Sevier
AR,6,Hempstead
AR,6,Miller
AR,6,Union
AR,6,Howard
AR,6,Nevada
AR,7,Crawford
AR,7,Scott
AR,7,Polk
AR,7,Franklin
AR,7,Sebastian
AR,7,Johnson
AR,7,Logan
AZ,1,Mohave
AZ,1,Coconino
AZ,1,Apache
AZ,1,Navajo
AZ,2,Yavapai
AZ,3,La Paz
AZ,3,Yuma
AZ,4,Maricopa
AZ,5,Pinal
AZ,5,Gila
AZ,6,Pima
