state,rating_area,zip_code
AK,1.0,99553
AK,2.0,99612
AK,3.0,99827
AL,1.0,36206
AL,2.0,36865
AL,3.0,35035
AL,4.0,36804
AL,5.0,35650
AL,6.0,36344
AL,7.0,35616
AL,8.0,35902
AL,9.0,35611
AL,10.0,36688
AL,11.0,36003
AL,12.0,35462
AL,13.0,36550
AR,1.0,72131
AR,2.0,72424
AR,3.0,72626
AR,4.0,71998
AR,5.0,72003
AR,6.0,71745
AR,7.0,72955
AZ,1.0,86544
AZ,2.0,86333
AZ,3.0,85357
AZ,4.0,85012
AZ,5.0,85544
AZ,6.0,85645
AZ,7.0,85610
CA,1.0,95223
CA,2.0,94903
CA,3.0,95667
CA,4.0,94123
CA,5.0,94530
CA,6.0,94538
CA,7.0,94040
CA,8.0,94303
CA,9.0,93901
CA,10.0,93623
CA,11.0,93622
CA,12.0,93449
CA,13.0,92251
CA,14.0,93390
CA,15.0,93515
CA,16.0,93234
CA,17.0,92555
CA,18.0,92627
CA,19.0,91901
CO,1.0,80026
CO,2.0,80817
CO,3.0,80010
CO,4.0,80526
CO,5.0,81507
CO,6.0,80513
CO,7.0,81022
CO,8.0,81136
CO,9.0,81137
CT,1.0,06484
CT,2.0,06010
CT,3.0,06039
CT,4.0,06457
CT,5.0,06443
CT,6.0,06320
CT,7.0,06250
CT,8.0,06234
DC,1.0,20376
DE,1.0,19904
FL,1.0,32609
FL,2.0,32087
FL,3.0,32456
FL,4.0,32026
FL,5.0,32949
FL,6.0,33351
FL,7.0,32448
FL,8.0,33948
FL,9.0,34442
FL,10.0,32006
FL,11.0,34134
FL,12.0,32061
FL,13.0,34266
FL,14.0,32648
FL,15.0,32205
FL,16.0,32501
FL,17.0,32145
FL,18.0,32322
FL,19.0,32351
FL,20.0,32643
FL,21.0,33935
FL,22.0,32465
FL,23.0,32052
FL,24.0,33873
FL,25.0,33471
FL,26.0,34605
FL,27.0,33852
FL,28.0,33511
FL,29.0,32452
FL,30.0,32962
FL,31.0,32432
FL,32.0,32344
FL,33.0,32066
FL,34.0,32702
FL,35.0,33904
FL,36.0,32399
FL,37.0,32626
FL,38.0,32334
FL,39.0,32340
FL,40.0,34217
FL,41.0,32696
FL,42.0,34996
FL,43.0,33193
FL,44.0,33043
FL,45.0,32034
FL,46.0,32579
FL,47.0,34973
FL,48.0,32792
FL,49.0,34758
FL,50.0,33404
FL,51.0,33559
FL,52.0,33709
FL,53.0,33859
FL,54.0,32640
FL,55.0,32572
FL,56.0,34231
FL,57.0,32792
FL,58.0,32081
FL,59.0,34947
FL,60.0,34785
FL,61.0,32062
FL,62.0,32348
FL,63.0,32054
FL,64.0,32738
FL,65.0,32355
FL,66.0,32433
FL,67.0,32437
GA,1.0,31721
GA,2.0,30666
GA,3.0,30121
GA,4.0,30170
GA,5.0,30441
GA,6.0,31510
GA,7.0,30726
GA,8.0,31805
GA,9.0,30541
GA,10.0,30543
GA,11.0,31552
GA,12.0,31216
GA,13.0,30753
GA,14.0,31557
GA,15.0,31798
GA,16.0,31087
GU,1.0,96929
HI,1.0,96720
IA,1.0,50276
IA,2.0,50039
IA,3.0,50568
IA,4.0,50155
IA,5.0,52569
IA,6.0,52332
IA,7.0,52101
ID,1.0,83204
ID,2.0,83320
ID,3.0,83402
ID,4.0,83547
ID,5.0,83616
ID,6.0,83735
ID,7.0,83830
IL,1.0,60056
IL,2.0,60060
IL,3.0,60148
IL,4.0,60416
IL,5.0,61114
IL,6.0,61356
IL,7.0,61427
IL,8.0,61778
IL,9.0,61803
IL,10.0,62338
IL,11.0,62086
IL,12.0,62062
IL,13.0,62914
IN,1.0,46307
IN,2.0,46514
IN,3.0,46731
IN,4.0,46825
IN,5.0,47970
IN,6.0,46998
IN,7.0,46065
IN,8.0,47338
IN,9.0,46171
IN,10.0,46147
IN,11.0,47024
IN,12.0,47203
IN,13.0,46164
IN,14.0,47060
IN,15.0,47519
IN,16.0,47141
IN,17.0,47666
KS,1.0,66085
KS,2.0,66091
KS,3.0,66937
KS,4.0,67567
KS,5.0,67104
KS,6.0,67228
KS,7.0,66772
KY,1.0,42022
KY,2.0,42262
KY,3.0,40145
KY,4.0,42743
KY,5.0,40372
KY,6.0,41048
KY,7.0,40353
KY,8.0,40977
LA,1.0,70115
LA,2.0,70339
LA,3.0,70515
LA,4.0,70638
LA,5.0,70346
LA,6.0,71356
LA,7.0,71465
LA,8.0,71251
MA,1.0,01226
MA,2.0,01521
MA,3.0,02048
MA,4.0,01842
MA,5.0,02143
MA,6.0,02360
MA,7.0,02638
MD,1.0,21076
MD,2.0,20714
MD,3.0,20850
MD,4.0,21539
ME,1.0,04021
ME,2.0,04360
ME,3.0,04252
ME,4.0,04746
MI,1.0,48166
MI,2.0,48082
MI,3.0,48061
MI,4.0,49221
MI,5.0,48433
MI,6.0,48720
MI,7.0,48837
MI,8.0,48703
MI,9.0,49107
MI,10.0,49089
MI,11.0,49078
MI,12.0,48837
MI,13.0,48612
MI,14.0,49615
MI,15.0,48738
