State,Zip,Age,Unsubsidized Cost
al,99553,30,"1,002"
al,99612,30,"1,002"
al,99827,30,0
al,36206,30,456
al,36865,30,469
al,35035,30,488
al,36804,30,469
al,35650,30,468
al,36344,30,440
al,35616,30,495
al,35902,30,495
al,35611,30,525
al,36688,30,445
al,36003,30,495
al,35462,30,451
al,36550,30,457
al,72131,30,0
al,72424,30,406
al,72626,30,406
al,71998,30,406
al,72003,30,406
al,71745,30,406
al,72955,30,406
al,86544,30,630
al,86333,30,604
al,85357,30,549
al,85012,30,330
al,85544,30,339
al,85645,30,0
al,85610,30,436
al,95223,30,679
al,94903,30,528
al,95667,30,533
al,94123,30,592
al,94530,30,624
al,94538,30,569
al,94040,30,508
al,94303,30,0
al,93901,30,661
al,93623,30,0
al,93622,30,438
al,93449,30,586
al,92251,30,438
al,93390,30,431
al,93515,30,784
al,93234,30,438
al,92555,30,366
al,92627,30,422
al,91901,30,391
al,80026,30,364
al,80817,30,0
al,80010,30,0
al,80526,30,401
al,81507,30,401
al,80513,30,0
al,81022,30,401
al,81136,30,0
al,81137,30,0
al,06484,30,659
al,06010,30,563
al,06039,30,609
al,06457,30,609
al,06443,30,609
al,06320,30,609
al,06250,30,0
al,06234,30,609
al,20376,30,462
al,19904,30,474
al,32609,30,501
al,32087,30,500
al,32456,30,0
al,32026,30,494
al,32949,30,412
al,33351,30,440
al,32448,30,0
al,33948,30,475
al,34442,30,464
al,32006,30,458
al,34134,30,0
al,32061,30,538
al,34266,30,0
al,32648,30,545
al,32205,30,422
al,32501,30,457
al,32145,30,0
al,32322,30,439
al,32351,30,473
al,32643,30,0
al,33935,30,0
al,32465,30,453
al,32052,30,781
al,33873,30,668
al,33471,30,0
al,34605,30,0
al,33852,30,462
al,33511,30,435
al,32452,30,0
al,32962,30,433
al,32432,30,527
al,32344,30,404
al,32066,30,633
al,32702,30,0
al,33904,30,496
al,32626,30,514
al,32334,30,428
al,32340,30,418
al,34217,30,453
al,32696,30,0
al,34996,30,492
al,33193,30,457
al,33043,30,805
al,32034,30,534
al,32579,30,487
al,34973,30,0
al,32792,30,0
al,34758,30,442
al,33404,30,468
al,33559,30,0
al,33709,30,442
al,33859,30,454
al,32640,30,0
al,32572,30,491
al,34231,30,436
al,32792,30,0
al,32081,30,0
al,34947,30,503
al,34785,30,449
al,32062,30,535
al,32348,30,530
al,32054,30,0
al,32738,30,444
al,32355,30,430
al,32433,30,470
al,32437,30,0
al,31721,30,0
al,30666,30,0
al,30121,30,460
al,30170,30,432
al,30441,30,0
al,31510,30,0
al,30726,30,392
al,31805,30,0
al,30541,30,412
al,30543,30,0
al,31552,30,0
al,31216,30,397
al,30753,30,0
al,31557,30,0
al,31798,30,0
al,31087,30,0
al,96720,30,438
al,50276,30,0
al,50039,30,0
al,50568,30,0
al,50155,30,0
al,52569,30,0
al,52332,30,0
al,52101,30,0
al,83204,30,0
al,83320,30,418
al,83402,30,0
al,83547,30,393
al,83616,30,0
al,83735,30,0
al,83830,30,0
al,60056,30,354
al,60060,30,355
al,60148,30,354
al,60416,30,0
al,61114,30,0
al,61356,30,501
al,61427,30,650
al,61778,30,676
al,61803,30,677
al,62338,30,578
al,62086,30,0
al,62062,30,391
al,62914,30,787
al,46307,30,0
al,46514,30,334
al,46731,30,371
al,46825,30,373
al,47970,30,0
al,46998,30,342
al,46065,30,0
al,47338,30,0
al,46171,30,0
al,46147,30,0
al,47024,30,0
al,47203,30,320
al,46164,30,0
al,47060,30,0
al,47519,30,324
al,47141,30,273
al,47666,30,338
al,66085,30,421
al,66091,30,443
al,66937,30,0
al,67567,30,0
al,67104,30,566
al,67228,30,450
al,66772,30,0
al,42022,30,423
al,42262,30,390
al,40145,30,369
al,42743,30,0
al,40372,30,0
al,41048,30,433
al,40353,30,0
al,40977,30,431
al,70115,30,419
al,70339,30,0
al,70515,30,0
al,70638,30,546
al,70346,30,0
al,71356,30,569
al,71465,30,0
al,71251,30,0
al,01226,30,433
al,01521,30,426
al,02048,30,406
al,01842,30,412
al,02143,30,412
al,02360,30,400
al,02638,30,463
al,21076,30,324
al,20714,30,0
al,20850,30,324
al,21539,30,0
al,04021,30,463
al,04360,30,494
al,04252,30,506
al,04746,30,527
al,48166,30,320
al,48082,30,298
al,48061,30,362
al,49221,30,518
al,48433,30,0
al,48720,30,430
al,48837,30,0
al,48703,30,462
al,49107,30,424
al,49089,30,532
al,49078,30,0
al,48837,30,0
al,48612,30,0
al,49615,30,434
al,48738,30,0
al,49826,30,665
al,55963,30,0
al,55720,30,0
al,56068,30,0
al,56030,30,420
al,56236,30,0
al,56511,30,334
al,56469,30,358
al,55038,30,0
al,56634,30,370
al,64430,30,0
al,63501,30,572
al,64701,30,419
al,64752,30,0
al,63345,30,526
al,63077,30,375
al,64748,30,0
al,65605,30,447
al,63937,30,0
al,63787,30,516
al,38611,30,432
al,38642,30,0
al,39059,30,0
al,39403,30,0
al,39573,30,0
al,39121,30,0
al,59070,30,392
al,59644,30,574
al,59912,30,476
al,59736,30,0
al,28622,30,0
al,28678,30,0
al,28623,30,0
al,28135,30,434
al,28040,30,0
al,27265,30,0
al,27284,30,0
al,27229,30,0
al,28382,30,0
al,27565,30,0
al,27253,30,0
al,27967,30,0
al,27816,30,0
al,27829,30,0
al,28420,30,491
al,27860,30,0
al,58501,30,399
al,58078,30,0
al,58203,30,0
al,58562,30,0
al,68038,30,499
al,68314,30,0
al,68980,30,546
al,69146,30,0
al,03226,30,0
al,08404,30,0
al,87176,30,400
al,87401,30,488
al,88008,30,462
al,87507,30,500
al,87820,30,530
al,89019,30,428
al,89523,30,425
al,89423,30,506
al,89496,30,0
al,12183,30,587
al,14813,30,497
al,13790,30,0
al,43526,30,395
al,45801,30,396
al,43072,30,425
al,45064,30,0
al,45697,30,0
al,44814,30,0
al,44827,30,0
al,43341,30,484
al,43082,30,418
al,45678,30,0
al,44010,30,361
al,44866,30,372
al,44432,30,369
al,43804,30,0
al,44644,30,429
al,43901,30,0
al,45778,30,464
al,74953,30,505
al,73552,30,488
al,73036,30,398
al,74028,30,0
al,74960,30,0
al,97034,30,414
al,97321,30,0
al,97303,30,446
al,97756,30,0
al,97110,30,529
al,97814,30,0
al,97436,30,514
al,16254,30,391
al,16720,30,0
al,16926,30,432
al,15014,30,362
al,15559,30,0
al,16829,30,481
al,17307,30,622
al,18940,30,323
al,17011,30,0
al,02915,30,377
al,29649,30,361
al,29809,30,395
al,29932,30,392
al,29626,30,463
al,29042,30,394
al,29808,30,0
al,29902,30,434
al,29445,30,0
al,29160,30,0
al,29413,30,355
al,29702,30,0
al,29729,30,440
al,29728,30,435
al,29056,30,418
al,29472,30,0
al,29161,30,0
al,29547,30,428
al,29426,30,0
al,29860,30,0
al,29065,30,424
al,29505,30,428
al,29442,30,0
al,29607,30,434
al,29649,30,0
al,29944,30,0
al,29526,30,367
al,29927,30,0
al,29032,30,0
al,29720,30,435
al,29370,30,406
al,29104,30,0
al,29033,30,464
al,29845,30,0
al,29519,30,413
al,29570,30,440
al,29075,30,0
al,29678,30,412
al,29113,30,396
al,29630,30,0
al,29036,30,0
al,29006,30,0
al,29356,30,0
al,29128,30,0
al,29379,30,501
al,29056,30,0
al,29710,30,453
al,57574,30,0
al,57010,30,0
al,57386,30,573
al,57328,30,0
al,37601,30,452
al,37710,30,417
al,37379,30,0
al,37035,30,488
al,38221,30,447
al,38017,30,0
al,37016,30,0
al,37360,30,0
al,76464,30,595
al,79039,30,465
al,78659,30,472
al,77659,30,415
al,78526,30,414
al,77802,30,457
al,78336,30,0
al,75013,30,425
al,79916,30,424
al,77833,30,0
al,76534,30,0
