State,Zip,Age,Unsubsidized Cost
al,99506,0,606
al,99757,0,675
al,99801,0,621
al,36250,0,255
al,36652,0,249
al,36119,0,277
al,35458,0,252
al,36553,0,256
al,36865,0,263
al,35182,0,273
al,36871,0,270
al,35643,0,262
al,36320,0,246
al,35645,0,277
al,35990,0,264
al,35804,0,294
al,72856,0,274
al,72564,0,274
al,72739,0,274
al,71910,0,274
al,72182,0,274
al,71724,0,274
al,72926,0,274
al,86429,0,369
al,86332,0,407
al,85357,0,370
al,85392,0,222
al,85131,0,228
al,85730,0,219
al,85536,0,294
al,95712,0,458
al,95387,0,326
al,93611,0,295
al,93062,0,347
al,92251,0,295
al,93390,0,290
al,90610,0,244
al,92501,0,247
al,92707,0,284
al,92173,0,263
al,95472,0,356
al,95815,0,359
al,94109,0,399
al,94807,0,420
al,94538,0,384
al,95051,0,342
al,94037,0,432
al,93901,0,445
al,80026,0,245
al,80905,0,272
al,80124,0,262
al,80526,0,270
al,81507,0,271
al,80754,0,270
al,81006,0,270
al,81248,0,324
al,80479,0,311
al,6880,0,444
al,6137,0,380
al,6785,0,411
al,6457,0,410
al,6513,0,410
al,6385,0,411
al,6075,0,411
al,6281,0,411
al,20410,0,388
al,19898,0,319
al,32609,0,338
al,32050,0,309
al,34116,0,332
al,32038,0,363
al,34268,0,312
al,32628,0,367
al,32226,0,284
al,32508,0,308
al,32143,0,320
al,32322,0,296
al,32351,0,319
al,32063,0,337
al,32619,0,352
al,33944,0,445
al,32053,0,526
al,33890,0,450
al,33975,0,357
al,34607,0,304
al,33871,0,311
al,33594,0,293
al,32452,0,297
al,32444,0,304
al,32962,0,292
al,32446,0,355
al,32345,0,272
al,32066,0,427
al,34736,0,305
al,33973,0,334
al,32626,0,347
al,32360,0,289
al,32340,0,282
al,32042,0,0
al,34211,0,305
al,34472,0,293
al,34956,0,332
al,33243,0,308
al,33040,0,543
al,32034,0,360
al,32536,0,328
al,34973,0,0
al,32710,0,313
al,34743,0,298
al,32910,0,278
al,33410,0,316
al,34669,0,303
al,33732,0,298
al,33844,0,306
al,32185,0,349
al,32583,0,331
al,34229,0,294
al,32707,0,317
al,32004,0,326
al,34947,0,339
al,33314,0,297
al,34785,0,302
al,32071,0,361
al,32347,0,357
al,32697,0,430
al,32121,0,299
al,32326,0,290
al,32433,0,317
al,32463,0,386
al,32424,0,288
al,33951,0,320
al,34442,0,313
al,39870,0,279
al,30566,0,222
al,31535,0,236
al,31004,0,268
al,30177,0,254
al,31405,0,304
al,31604,0,232
al,31054,0,265
al,30602,0,344
al,30396,0,310
al,30140,0,291
al,30822,0,309
al,31546,0,243
al,30757,0,264
al,30286,0,292
al,30719,0,278
al,50075,0,244
al,50311,0,245
al,51012,0,230
al,51578,0,269
al,52335,0,264
al,52004,0,249
al,52166,0,283
al,83283,0,268
al,83346,0,282
al,83460,0,257
al,83553,0,265
al,83630,0,259
al,83735,0,259
al,83847,0,248
al,60684,0,238
al,62551,0,389
al,62292,0,328
al,62289,0,264
al,62461,0,530
al,60035,0,239
al,60561,0,239
al,60442,0,221
al,61065,0,351
al,61418,0,342
