state,rating_area,Unsubsidized Cost,Zip
AK,1.0,606.0,99506
AK,2.0,675.0,99757
AK,3.0,621.0,99801
AL,1.0,255.0,36250
AL,2.0,263.0,36865
AL,3.0,273.0,35182
AL,4.0,270.0,36871
AL,5.0,262.0,35643
AL,6.0,246.0,36320
AL,7.0,277.0,35645
AL,8.0,264.0,35990
AL,9.0,294.0,35804
AL,10.0,249.0,36652
AL,11.0,277.0,36119
AL,12.0,252.0,35458
AL,13.0,256.0,36553
AR,1.0,274.0,72856
AR,2.0,274.0,72564
AR,3.0,274.0,72739
AR,4.0,274.0,71910
AR,5.0,274.0,72182
AR,6.0,274.0,71724
AR,7.0,274.0,72926
AZ,1.0,369.0,86429
AZ,2.0,407.0,86332
AZ,3.0,370.0,85357
AZ,4.0,222.0,85392
AZ,5.0,228.0,85131
AZ,6.0,219.0,85730
AZ,7.0,294.0,85536
CA,1.0,458.0,95712
CA,2.0,356.0,95472
CA,3.0,359.0,95815
CA,4.0,399.0,94109
CA,5.0,420.0,94807
CA,6.0,384.0,94538
CA,7.0,342.0,95051
CA,8.0,432.0,94037
CA,9.0,445.0,93901
CA,10.0,326.0,95387
CA,11.0,295.0,93611
CA,12.0,347.0,93062
CA,13.0,295.0,92251
CA,14.0,290.0,93390
CA,15.0,244.0,90610
CA,16.0,284.0,92825
CA,17.0,247.0,92501
CA,18.0,284.0,92707
CA,19.0,263.0,92173
CO,1.0,245.0,80026
CO,2.0,272.0,80905
CO,3.0,262.0,80124
CO,4.0,270.0,80526
CO,5.0,271.0,81507
CO,6.0,270.0,80754
CO,7.0,270.0,81006
CO,8.0,324.0,81248
CO,9.0,311.0,80479
CT,1.0,444.0,06880
CT,2.0,380.0,06137
CT,3.0,411.0,06785
CT,4.0,410.0,06457
CT,5.0,410.0,06513
CT,6.0,411.0,06385
CT,7.0,411.0,06075
CT,8.0,411.0,06281
DC,1.0,388.0,20410
DE,1.0,319.0,19898
FL,1.0,338.0,32609
FL,2.0,337.0,32063
FL,3.0,304.0,32444
FL,4.0,333.0,32042
FL,5.0,278.0,32910
FL,6.0,297.0,33314
FL,7.0,288.0,32424
FL,8.0,320.0,33951
FL,9.0,313.0,34442
FL,10.0,309.0,32050
FL,11.0,332.0,34116
FL,12.0,363.0,32038
FL,13.0,312.0,34268
FL,14.0,367.0,32628
FL,15.0,284.0,32226
FL,16.0,308.0,32508
FL,17.0,320.0,32143
FL,18.0,296.0,32322
FL,19.0,319.0,32351
FL,20.0,352.0,32619
FL,21.0,445.0,33944
FL,23.0,526.0,32053
FL,24.0,450.0,33890
FL,25.0,357.0,33975
FL,26.0,304.0,34607
FL,27.0,311.0,33871
FL,28.0,293.0,33594
FL,29.0,297.0,32452
FL,30.0,292.0,32962
FL,31.0,355.0,32446
FL,32.0,272.0,32345
FL,33.0,427.0,32066
FL,34.0,305.0,34736
FL,35.0,334.0,33973
FL,36.0,273.0,32313
FL,37.0,347.0,32626
FL,38.0,289.0,32360
FL,39.0,282.0,32340
FL,40.0,305.0,34211
FL,41.0,293.0,34472
FL,42.0,332.0,34956
FL,43.0,308.0,33243
FL,44.0,543.0,33040
FL,45.0,360.0,32034
FL,46.0,328.0,32536
FL,47.0,350.0,34973
FL,48.0,313.0,32710
FL,49.0,298.0,34743
FL,50.0,316.0,33410
FL,51.0,303.0,34669
FL,52.0,298.0,33732
FL,53.0,306.0,33844
FL,54.0,349.0,32185
FL,55.0,331.0,32583
FL,56.0,294.0,34229
FL,57.0,317.0,32707
FL,58.0,326.0,32004
FL,59.0,339.0,34947
FL,60.0,302.0,34785
FL,61.0,361.0,32071
FL,62.0,357.0,32347
FL,63.0,430.0,32697
FL,64.0,299.0,32121
FL,65.0,290.0,32326
FL,66.0,317.0,32433
FL,67.0,386.0,32463
GA,1.0,279.0,39870
GA,2.0,344.0,30602
GA,3.0,310.0,30396
GA,4.0,291.0,30140
GA,5.0,309.0,30822
GA,6.0,243.0,31546
GA,7.0,264.0,30757
GA,8.0,292.0,30286
GA,9.0,278.0,30719
GA,10.0,222.0,30566
GA,11.0,236.0,31535
GA,12.0,268.0,31004
GA,13.0,254.0,30177
GA,14.0,304.0,31405
GA,15.0,232.0,31604
GA,16.0,265.0,31054
HI,1.0,295.0,96824
IA,1.0,244.0,50075
IA,2.0,245.0,50311
IA,3.0,230.0,51012
IA,4.0,269.0,51578
IA,5.0,264.0,52335
IA,6.0,249.0,52004
IA,7.0,283.0,52166
ID,1.0,268.0,83283
ID,2.0,282.0,83346
