zip_code,county,state,stcountyfp,rating_area
02638,Barnstable County,MA,25001,7.0
02646,Barnstable County,MA,25001,7.0
02667,Barnstable County,MA,25001,7.0
02673,Barnstable County,MA,25001,7.0
02561,Barnstable County,MA,25001,7.0
02559,Barnstable County,MA,25001,7.0
02574,Barnstable County,MA,25001,7.0
02635,Barnstable County,MA,25001,7.0
02639,Barnstable County,MA,25001,7.0
02668,Barnstable County,MA,25001,7.0
02543,Barnstable County,MA,25001,7.0
02661,Barnstable County,MA,25001,7.0
02662,Barnstable County,MA,25001,7.0
02663,Barnstable County,MA,25001,7.0
02534,Barnstable County,MA,25001,7.0
02645,Barnstable County,MA,25001,7.0
02650,Barnstable County,MA,25001,7.0
02648,Barnstable County,MA,25001,7.0
02660,Barnstable County,MA,25001,7.0
02659,Barnstable County,MA,25001,7.0
02553,Barnstable County,MA,25001,7.0
02652,Barnstable County,MA,25001,7.0
02540,Barnstable County,MA,25001,7.0
02630,Barnstable County,MA,25001,7.0
02631,Barnstable County,MA,25001,7.0
02644,Barnstable County,MA,25001,7.0
02360,Barnstable County,MA,25001,6.0
02641,Barnstable County,MA,25001,7.0
02532,Barnstable County,MA,25001,7.0
02633,Barnstable County,MA,25001,7.0
02647,Barnstable County,MA,25001,7.0
02657,Barnstable County,MA,25001,7.0
02651,Barnstable County,MA,25001,7.0
02537,Barnstable County,MA,25001,7.0
02655,Barnstable County,MA,25001,7.0
02664,Barnstable County,MA,25001,7.0
02675,Barnstable County,MA,25001,7.0
02643,Barnstable County,MA,25001,7.0
02536,Barnstable County,MA,25001,7.0
02542,Barnstable County,MA,25001,7.0
02562,Barnstable County,MA,25001,7.0
02601,Barnstable County,MA,25001,7.0
02653,Barnstable County,MA,25001,7.0
02672,Barnstable County,MA,25001,7.0
02666,Barnstable County,MA,25001,7.0
02563,Barnstable County,MA,25001,7.0
02556,Barnstable County,MA,25001,7.0
02632,Barnstable County,MA,25001,7.0
02642,Barnstable County,MA,25001,7.0
02649,Barnstable County,MA,25001,7.0
02671,Barnstable County,MA,25001,7.0
02669,Barnstable County,MA,25001,7.0
02670,Barnstable County,MA,25001,7.0
02541,Barnstable County,MA,25001,7.0
02637,Barnstable County,MA,25001,7.0
02634,Barnstable County,MA,25001,7.0
01226,Berkshire County,MA,25003,1.0
01258,Berkshire County,MA,25003,1.0
01225,Berkshire County,MA,25003,1.0
01026,Berkshire County,MA,25003,1.0
