zip_code,county_standardized,county_original,state,stcountyfp,classfp,ZIP3,rating_area
36003,Autauga,Autauga County,AL,1001,H1,360,11.0
36006,Autauga,Autauga County,AL,1001,H1,360,11.0
36067,Autauga,Autauga County,AL,1001,H1,360,11.0
36066,Autauga,Autauga County,AL,1001,H1,360,11.0
36703,Autauga,Autauga County,AL,1001,H1,367,11.0
36701,Autauga,Autauga County,AL,1001,H1,367,11.0
36091,Autauga,Autauga County,AL,1001,H1,360,11.0
36051,Autauga,Autauga County,AL,1001,H1,360,11.0
36068,Autauga,Autauga County,AL,1001,H1,360,11.0
36008,Autauga,Autauga County,AL,1001,H1,360,11.0
36022,Autauga,Autauga County,AL,1001,H1,360,11.0
36749,Autauga,Autauga County,AL,1001,H1,367,11.0
36758,Autauga,Autauga County,AL,1001,H1,367,11.0
36550,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36551,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36527,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36577,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36559,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36536,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36576,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36579,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36502,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36578,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36533,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36564,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36561,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36580,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36535,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36547,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36549,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36530,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36562,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36532,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36526,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36555,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36511,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36567,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36574,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36480,Baldwin,Baldwin County,AL,1003,H1,364,13.0
36507,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36542,Baldwin,Baldwin County,AL,1003,H1,365,13.0
36017,Barbour,Barbour County,AL,1005,H1,360,13.0
36016,Barbour,Barbour County,AL,1005,H1,360,13.0
36311,Barbour,Barbour County,AL,1005,H1,363,13.0
36374,Barbour,Barbour County,AL,1005,H1,363,13.0
36048,Barbour,Barbour County,AL,1005,H1,360,13.0
36053,Barbour,Barbour County,AL,1005,H1,360,13.0
36317,Barbour,Barbour County,AL,1005,H1,363,13.0
36027,Barbour,Barbour County,AL,1005,H1,360,13.0
36072,Barbour,Barbour County,AL,1005,H1,360,13.0
35035,Bibb,Bibb County,AL,1007,H1,350,3.0
35034,Bibb,Bibb County,AL,1007,H1,350,3.0
36750,Bibb,Bibb County,AL,1007,H1,367,3.0
35115,Bibb,Bibb County,AL,1007,H1,351,3.0
35188,Bibb,Bibb County,AL,1007,H1,351,3.0
36793,Bibb,Bibb County,AL,1007,H1,367,3.0
35074,Bibb,Bibb County,AL,1007,H1,350,3.0
35042,Bibb,Bibb County,AL,1007,H1,350,3.0
35111,Bibb,Bibb County,AL,1007,H1,351,3.0
35184,Bibb,Bibb County,AL,1007,H1,351,3.0
36792,Bibb,Bibb County,AL,1007,H1,367,3.0
35456,Bibb,Bibb County,AL,1007,H1,354,3.0
35031,Blount,Blount County,AL,1009,H1,350,3.0
35121,Blount,Blount County,AL,1009,H1,351,3.0
35063,Blount,Blount County,AL,1009,H1,350,3.0
35016,Blount,Blount County,AL,1009,H1,350,3.0
35079,Blount,Blount County,AL,1009,H1,350,3.0
35097,Blount,Blount County,AL,1009,H1,350,3.0
35133,Blount,Blount County,AL,1009,H1,351,3.0
35957,Blount,Blount County,AL,1009,H1,359,3.0
35126,Blount,Blount County,AL,1009,H1,351,3.0
35049,Blount,Blount County,AL,1009,H1,350,3.0
35172,Blount,Blount County,AL,1009,H1,351,3.0
35952,Blount,Blount County,AL,1009,H1,359,3.0
35180,Blount,Blount County,AL,1009,H1,351,3.0
35146,Blount,Blount County,AL,1009,H1,351,3.0
35976,Blount,Blount County,AL,1009,H1,359,3.0
35980,Blount,Blount County,AL,1009,H1,359,3.0
35013,Blount,Blount County,AL,1009,H1,350,3.0
36830,Bullock,Bullock County,AL,1011,H1,368,13.0
36031,Bullock,Bullock County,AL,1011,H1,360,13.0
36089,Bullock,Bullock County,AL,1011,H1,360,13.0
36029,Bullock,Bullock County,AL,1011,H1,360,13.0
36081,Bullock,Bullock County,AL,1011,H1,360,13.0
36860,Bullock,Bullock County,AL,1011,H1,368,13.0
36053,Bullock,Bullock County,AL,1011,H1,360,13.0
36005,Bullock,Bullock County,AL,1011,H1,360,13.0
36052,Bullock,Bullock County,AL,1011,H1,360,13.0
36037,Butler,Butler County,AL,1013,H1,360,13.0
36033,Butler,Butler County,AL,1013,H1,360,13.0
36032,Butler,Butler County,AL,1013,H1,360,13.0
36456,Butler,Butler County,AL,1013,H1,364,13.0
36474,Butler,Butler County,AL,1013,H1,364,13.0
36030,Butler,Butler County,AL,1013,H1,360,13.0
36042,Butler,Butler County,AL,1013,H1,360,13.0
36071,Butler,Butler County,AL,1013,H1,360,13.0
36015,Butler,Butler County,AL,1013,H1,360,13.0
36206,Calhoun,Calhoun County,AL,1015,H1,362,1.0
36204,Calhoun,Calhoun County,AL,1015,H1,362,1.0
35096,Calhoun,Calhoun County,AL,1015,H1,350,1.0
