zip_code,county_standardized,county_original,state,stcountyfp,classfp,ZIP3,rating_area,slspc
36003,Autauga County,Autauga County,AL,1001,H1,360,11.0,495.0
36006,Autauga County,Autauga County,AL,1001,H1,360,11.0,495.0
36067,Autauga County,Autauga County,AL,1001,H1,360,11.0,495.0
36066,Autauga County,Autauga County,AL,1001,H1,360,11.0,495.0
36703,Autauga County,Autauga County,AL,1001,H1,367,11.0,495.0
36701,Autauga County,Autauga County,AL,1001,H1,367,11.0,495.0
36091,Autauga County,Autauga County,AL,1001,H1,360,11.0,495.0
36051,Autauga County,Autauga County,AL,1001,H1,360,11.0,495.0
36068,Autauga County,Autauga County,AL,1001,H1,360,11.0,495.0
36008,Autauga County,Autauga County,AL,1001,H1,360,11.0,495.0
36022,Autauga County,Autauga County,AL,1001,H1,360,11.0,495.0
36749,Autauga County,Autauga County,AL,1001,H1,367,11.0,495.0
36758,Autauga County,Autauga County,AL,1001,H1,367,11.0,495.0
36550,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36551,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36527,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36577,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36559,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36536,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36576,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36579,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36502,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36578,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36533,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36564,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36561,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36580,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36535,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36547,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36549,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36530,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36562,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36532,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36526,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36555,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36511,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36567,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36574,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36480,Baldwin County,Baldwin County,AL,1003,H1,364,13.0,457.0
36507,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36542,Baldwin County,Baldwin County,AL,1003,H1,365,13.0,457.0
36017,Barbour County,Barbour County,AL,1005,H1,360,13.0,457.0
36016,Barbour County,Barbour County,AL,1005,H1,360,13.0,457.0
36311,Barbour County,Barbour County,AL,1005,H1,363,13.0,457.0
36374,Barbour County,Barbour County,AL,1005,H1,363,13.0,457.0
36048,Barbour County,Barbour County,AL,1005,H1,360,13.0,457.0
36053,Barbour County,Barbour County,AL,1005,H1,360,13.0,457.0
36317,Barbour County,Barbour County,AL,1005,H1,363,13.0,457.0
36027,Barbour County,Barbour County,AL,1005,H1,360,13.0,457.0
36072,Barbour County,Barbour County,AL,1005,H1,360,13.0,457.0
35035,Bibb County,Bibb County,AL,1007,H1,350,3.0,488.0
35034,Bibb County,Bibb County,AL,1007,H1,350,3.0,488.0
36750,Bibb County,Bibb County,AL,1007,H1,367,3.0,488.0
35115,Bibb County,Bibb County,AL,1007,H1,351,3.0,488.0
35188,Bibb County,Bibb County,AL,1007,H1,351,3.0,488.0
36793,Bibb County,Bibb County,AL,1007,H1,367,3.0,488.0
35074,Bibb County,Bibb County,AL,1007,H1,350,3.0,488.0
35042,Bibb County,Bibb County,AL,1007,H1,350,3.0,488.0
35111,Bibb County,Bibb County,AL,1007,H1,351,3.0,488.0
35184,Bibb County,Bibb County,AL,1007,H1,351,3.0,488.0
36792,Bibb County,Bibb County,AL,1007,H1,367,3.0,488.0
35456,Bibb County,Bibb County,AL,1007,H1,354,3.0,488.0
35031,Blount County,Blount County,AL,1009,H1,350,3.0,488.0
35121,Blount County,Blount County,AL,1009,H1,351,3.0,488.0
35063,Blount County,Blount County,AL,1009,H1,350,3.0,488.0
35016,Blount County,Blount County,AL,1009,H1,350,3.0,488.0
35079,Blount County,Blount County,AL,1009,H1,350,3.0,488.0
35097,Blount County,Blount County,AL,1009,H1,350,3.0,488.0
35133,Blount County,Blount County,AL,1009,H1,351,3.0,488.0
35957,Blount County,Blount County,AL,1009,H1,359,3.0,488.0
35126,Blount County,Blount County,AL,1009,H1,351,3.0,488.0
35049,Blount County,Blount County,AL,1009,H1,350,3.0,488.0
35172,Blount County,Blount County,AL,1009,H1,351,3.0,488.0
35952,Blount County,Blount County,AL,1009,H1,359,3.0,488.0
35180,Blount County,Blount County,AL,1009,H1,351,3.0,488.0
35146,Blount County,Blount County,AL,1009,H1,351,3.0,488.0
35976,Blount County,Blount County,AL,1009,H1,359,3.0,488.0
35980,Blount County,Blount County,AL,1009,H1,359,3.0,488.0
35013,Blount County,Blount County,AL,1009,H1,350,3.0,488.0
36830,Bullock County,Bullock County,AL,1011,H1,368,13.0,457.0
36031,Bullock County,Bullock County,AL,1011,H1,360,13.0,457.0
36089,Bullock County,Bullock County,AL,1011,H1,360,13.0,457.0
36029,Bullock County,Bullock County,AL,1011,H1,360,13.0,457.0
36081,Bullock County,Bullock County,AL,1011,H1,360,13.0,457.0
36860,Bullock County,Bullock County,AL,1011,H1,368,13.0,457.0
36053,Bullock County,Bullock County,AL,1011,H1,360,13.0,457.0
36005,Bullock County,Bullock County,AL,1011,H1,360,13.0,457.0
36052,Bullock County,Bullock County,AL,1011,H1,360,13.0,457.0
36037,Butler County,Butler County,AL,1013,H1,360,13.0,457.0
36033,Butler County,Butler County,AL,1013,H1,360,13.0,457.0
36032,Butler County,Butler County,AL,1013,H1,360,13.0,457.0
36456,Butler County,Butler County,AL,1013,H1,364,13.0,457.0
36474,Butler County,Butler County,AL,1013,H1,364,13.0,457.0
36030,Butler County,Butler County,AL,1013,H1,360,13.0,457.0
36042,Butler County,Butler County,AL,1013,H1,360,13.0,457.0
36071,Butler County,Butler County,AL,1013,H1,360,13.0,457.0
36015,Butler County,Butler County,AL,1013,H1,360,13.0,457.0
36206,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36204,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
35096,Calhoun County,Calhoun County,AL,1015,H1,350,1.0,456.0
36279,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36205,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36260,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36271,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36272,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36201,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36203,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36207,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36265,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36202,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36257,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36253,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36254,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
35905,Calhoun County,Calhoun County,AL,1015,H1,359,1.0,456.0
36250,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36277,Calhoun County,Calhoun County,AL,1015,H1,362,1.0,456.0
36852,Chambers County,Chambers County,AL,1017,H1,368,13.0,457.0
36855,Chambers County,Chambers County,AL,1017,H1,368,13.0,457.0
36879,Chambers County,Chambers County,AL,1017,H1,368,13.0,457.0
36274,Chambers County,Chambers County,AL,1017,H1,362,13.0,457.0
36862,Chambers County,Chambers County,AL,1017,H1,368,13.0,457.0
36863,Chambers County,Chambers County,AL,1017,H1,368,13.0,457.0
36801,Chambers County,Chambers County,AL,1017,H1,368,13.0,457.0
36854,Chambers County,Chambers County,AL,1017,H1,368,13.0,457.0
36276,Chambers County,Chambers County,AL,1017,H1,362,13.0,457.0
36850,Chambers County,Chambers County,AL,1017,H1,368,13.0,457.0
35973,Cherokee County,Cherokee County,AL,1019,H1,359,13.0,457.0
35959,Cherokee County,Cherokee County,AL,1019,H1,359,13.0,457.0
35901,Cherokee County,Cherokee County,AL,1019,H1,359,13.0,457.0
35984,Cherokee County,Cherokee County,AL,1019,H1,359,13.0,457.0
36272,Cherokee County,Cherokee County,AL,1019,H1,362,13.0,457.0
35967,Cherokee County,Cherokee County,AL,1019,H1,359,13.0,457.0
35961,Cherokee County,Cherokee County,AL,1019,H1,359,13.0,457.0
35903,Cherokee County,Cherokee County,AL,1019,H1,359,13.0,457.0
36275,Cherokee County,Cherokee County,AL,1019,H1,362,13.0,457.0
35960,Cherokee County,Cherokee County,AL,1019,H1,359,13.0,457.0
35983,Cherokee County,Cherokee County,AL,1019,H1,359,13.0,457.0
36006,Chilton County,Chilton County,AL,1021,H1,360,3.0,488.0
35115,Chilton County,Chilton County,AL,1021,H1,351,3.0,488.0
35040,Chilton County,Chilton County,AL,1021,H1,350,3.0,488.0
36790,Chilton County,Chilton County,AL,1021,H1,367,3.0,488.0
36758,Chilton County,Chilton County,AL,1021,H1,367,3.0,488.0
36793,Chilton County,Chilton County,AL,1021,H1,367,3.0,488.0
36750,Chilton County,Chilton County,AL,1021,H1,367,3.0,488.0
