State,Zip,County,Age,Unsubsidized Cost
al,99506,,30,899
al,99757,,30,"1,002"
al,99801,,30,921
al,36250,,30,456
al,36652,,30,445
al,36119,,30,495
al,35458,,30,451
al,36553,,30,457
al,36865,,30,469
al,35182,,30,488
al,36871,,30,483
al,35643,,30,468
al,36320,,30,440
al,35645,,30,495
al,35990,,30,472
al,35804,,30,525
al,72856,,30,406
al,72564,,30,406
al,72739,,30,406
al,71910,,30,406
al,72182,,30,406
al,71724,,30,406
al,72926,,30,406
al,86429,,30,547
al,86332,,30,604
al,85357,,30,549
al,85392,,30,330
al,85131,,30,339
al,85730,,30,324
al,85536,,30,436
al,95712,,30,679
al,95387,,30,484
al,93611,,30,438
al,93062,,30,515
al,92251,,30,438
al,93390,,30,431
al,90610,,30,362
al,92501,,30,366
al,92707,,30,422
al,92173,,30,391
al,95472,,30,528
al,95815,,30,533
al,94109,,30,592
al,94807,,30,624
al,94538,,30,569
al,95051,,30,508
al,94037,,30,641
al,93901,,30,661
al,80026,,30,364
al,80905,,30,403
al,80124,,30,388
al,80526,,30,401
al,81507,,30,401
al,80754,,30,401
al,81006,,30,401
al,81248,,30,585
al,80479,,30,461
al,06880,,30,659
al,06137,,30,563
al,06785,,30,609
al,06457,,30,609
al,06513,,30,609
al,06385,,30,609
al,06075,,30,609
al,06281,,30,609
al,20410,,30,462
al,19898,,30,474
al,32609,,30,501
al,32050,,30,458
al,34116,,30,493
al,32038,,30,538
al,34268,,30,462
al,32628,,30,545
al,32226,,30,422
al,32508,,30,457
al,32143,,30,475
al,32322,,30,439
al,32351,,30,473
al,32063,,30,500
al,32619,,30,522
al,33944,,30,660
al,32053,,30,781
al,33890,,30,668
al,33975,,30,660
al,34607,,30,451
al,33871,,30,462
al,33594,,30,435
al,32452,,30,440
al,32444,,30,451
al,32962,,30,433
al,32446,,30,527
al,32345,,30,404
al,32066,,30,633
al,34736,,30,452
al,33973,,30,496
al,32626,,30,514
al,32360,,30,428
al,32340,,30,418
al,32042,,30,494
al,34211,,30,453
al,34472,,30,434
al,34956,,30,492
al,33243,,30,457
al,33040,,30,805
al,32034,,30,534
al,32536,,30,487
al,34973,,30,660
al,32710,,30,465
al,34743,,30,442
al,32910,,30,412
al,33410,,30,468
al,34669,,30,450
al,33732,,30,442
al,33844,,30,454
al,32185,,30,501
al,32583,,30,491
al,34229,,30,436
al,32707,,30,470
al,32004,,30,483
al,34947,,30,503
al,33314,,30,440
al,34785,,30,449
al,32071,,30,535
al,32347,,30,530
al,32697,,30,638
al,32121,,30,444
al,32326,,30,430
al,32433,,30,470
al,32463,,30,573
al,32424,,30,428
al,33951,,30,475
al,34442,,30,464
al,39870,,30,415
al,30566,,30,329
al,31535,,30,350
al,31004,,30,397
al,30177,,30,378
al,31405,,30,451
al,31604,,30,344
al,31054,,30,394
al,30602,,30,510
al,30396,,30,460
al,30140,,30,432
al,30822,,30,459
al,31546,,30,360
al,30757,,30,392
al,30286,,30,434
al,30719,,30,412
al,50075,,30,361
al,50311,,30,364
al,51012,,30,341
al,51578,,30,399
al,52335,,30,392
al,52004,,30,369
al,52166,,30,420
al,83283,,30,397
al,83346,,30,418
al,83460,,30,382
al,83553,,30,393
al,83630,,30,385
al,83735,,30,385
al,83847,,30,368
al,60684,,30,354
al,62551,,30,578
al,62292,,30,487
al,62289,,30,391
al,62461,,30,787
al,60035,,30,355
al,60561,,30,354
al,60442,,30,327
al,61065,,30,521
al,61418,,30,508
al,61615,,30,551
al,61790,,30,676
al,61941,,30,677
al,46304,,30,331
al,46075,,30,343
al,47344,,30,337
al,47203,,30,320
al,47435,,30,320
al,47022,,30,338
al,47573,,30,324
al,47104,,30,273
al,47710,,30,338
al,46616,,30,334
al,46778,,30,334
al,46809,,30,373
al,47986,,30,336
al,46967,,30,342
al,46170,,30,368
al,47304,,30,334
al,47851,,30,368
al,66085,,30,421
al,66683,,30,443
al,66946,,30,456
al,67733,,30,490
al,67857,,30,668
al,67221,,30,450
al,66740,,30,511
al,42033,,30,423
al,42402,,30,390
al,40208,,30,369
al,42503,,30,419
al,40357,,30,377
al,40317,,30,356
al,41560,,30,431
al,70050,,30,424
al,70395,,30,522
al,70392,,30,516
al,70591,,30,497
al,70820,,30,440
al,71339,,30,569
al,71294,,30,519
al,71064,,30,407
al,01144,,30,418
al,01571,,30,426
al,01721,,30,406
al,01945,,30,412
al,02222,,30,412
al,02357,,30,400
al,02539,,30,749
al,21202,,30,324
al,20619,,30,324
al,20851,,30,324
al,21777,,30,324
al,04011,,30,463
al,04333,,30,494
al,04412,,30,492
al,04669,,30,527
al,48224,,30,320
al,49020,,30,359
al,49406,,30,359
al,49501,,30,353
al,48674,,30,417
al,49636,,30,434
al,48721,,30,461
al,49847,,30,665
al,48165,,30,298
al,48061,,30,362
al,48190,,30,321
al,48437,,30,307
al,48755,,30,430
al,49259,,30,376
al,48602,,30,417
al,49091,,30,424
al,55026,,30,481
al,55614,,30,401
al,56173,,30,380
al,56226,,30,367
al,56529,,30,334
al,55084,,30,321
al,56310,,30,329
al,56715,,30,355
al,64424,,30,520
al,63763,,30,516
al,63501,,30,572
al,64054,,30,419
al,64741,,30,489
al,64660,,30,526
al,63050,,30,375
al,64835,,30,469
al,65732,,30,447
al,63941,,30,505
al,38661,,30,432
al,38862,,30,429
al,39060,,30,431
al,39463,,30,437
al,39567,,30,437
al,38838,,30,426
al,59054,,30,392
al,59644,,30,574
al,59914,,30,476
al,59466,,30,536
al,28662,,30,493
al,27594,,30,467
al,27599,,30,439
