zip_code,county,state,stcountyfp,rating_area
99553,Aleutians East Borough,AK,2013,
99571,Aleutians East Borough,AK,2013,
99583,Aleutians East Borough,AK,2013,
99612,Aleutians East Borough,AK,2013,
99661,Aleutians East Borough,AK,2013,
99546,Aleutians West Census Area,AK,2016,
99547,Aleutians West Census Area,AK,2016,
99591,Aleutians West Census Area,AK,2016,
99638,Aleutians West Census Area,AK,2016,
99660,Aleutians West Census Area,AK,2016,
99685,Aleutians West Census Area,AK,2016,
99692,Aleutians West Census Area,AK,2016,
99501,Anchorage Municipality,AK,2020,
99502,Anchorage Municipality,AK,2020,
99503,Anchorage Municipality,AK,2020,
99504,Anchorage Municipality,AK,2020,
99505,Anchorage Municipality,AK,2020,
99506,Anchorage Municipality,AK,2020,
99507,Anchorage Municipality,AK,2020,
99508,Anchorage Municipality,AK,2020,
99509,Anchorage Municipality,AK,2020,
99510,Anchorage Municipality,AK,2020,
99511,Anchorage Municipality,AK,2020,
99513,Anchorage Municipality,AK,2020,
99514,Anchorage Municipality,AK,2020,
99515,Anchorage Municipality,AK,2020,
99516,Anchorage Municipality,AK,2020,
99517,Anchorage Municipality,AK,2020,
99518,Anchorage Municipality,AK,2020,
99519,Anchorage Municipality,AK,2020,
99520,Anchorage Municipality,AK,2020,
99521,Anchorage Municipality,AK,2020,
99522,Anchorage Municipality,AK,2020,
99523,Anchorage Municipality,AK,2020,
99524,Anchorage Municipality,AK,2020,
99529,Anchorage Municipality,AK,2020,
99530,Anchorage Municipality,AK,2020,
99540,Anchorage Municipality,AK,2020,
99567,Anchorage Municipality,AK,2020,
99577,Anchorage Municipality,AK,2020,
99587,Anchorage Municipality,AK,2020,
99599,Anchorage Municipality,AK,2020,
99545,Bethel Census Area,AK,2050,
99551,Bethel Census Area,AK,2050,
99552,Bethel Census Area,AK,2050,
99557,Bethel Census Area,AK,2050,
99559,Bethel Census Area,AK,2050,
99561,Bethel Census Area,AK,2050,
99575,Bethel Census Area,AK,2050,
99578,Bethel Census Area,AK,2050,
99589,Bethel Census Area,AK,2050,
99607,Bethel Census Area,AK,2050,
99609,Bethel Census Area,AK,2050,
99614,Bethel Census Area,AK,2050,
99621,Bethel Census Area,AK,2050,
99622,Bethel Census Area,AK,2050,
99626,Bethel Census Area,AK,2050,
99630,Bethel Census Area,AK,2050,
99634,Bethel Census Area,AK,2050,
99637,Bethel Census Area,AK,2050,
99641,Bethel Census Area,AK,2050,
99651,Bethel Census Area,AK,2050,
99655,Bethel Census Area,AK,2050,
99656,Bethel Census Area,AK,2050,
99668,Bethel Census Area,AK,2050,
99679,Bethel Census Area,AK,2050,
99680,Bethel Census Area,AK,2050,
99681,Bethel Census Area,AK,2050,
99690,Bethel Census Area,AK,2050,
99613,Bristol Bay Borough,AK,2060,
99633,Bristol Bay Borough,AK,2060,
99670,Bristol Bay Borough,AK,2060,
99729,Denali Borough,AK,2068,
99743,Denali Borough,AK,2068,
99744,Denali Borough,AK,2068,
99755,Denali Borough,AK,2068,
99555,Dillingham Census Area,AK,2070,
99569,Dillingham Census Area,AK,2070,
99576,Dillingham Census Area,AK,2070,
99580,Dillingham Census Area,AK,2070,
99628,Dillingham Census Area,AK,2070,
99636,Dillingham Census Area,AK,2070,
99678,Dillingham Census Area,AK,2070,
99701,Fairbanks North Star Borough,AK,2090,
99702,Fairbanks North Star Borough,AK,2090,
99703,Fairbanks North Star Borough,AK,2090,
99705,Fairbanks North Star Borough,AK,2090,
99706,Fairbanks North Star Borough,AK,2090,
99707,Fairbanks North Star Borough,AK,2090,
99708,Fairbanks North Star Borough,AK,2090,
99709,Fairbanks North Star Borough,AK,2090,
99712,Fairbanks North Star Borough,AK,2090,
99714,Fairbanks North Star Borough,AK,2090,
99725,Fairbanks North Star Borough,AK,2090,
99775,Fairbanks North Star Borough,AK,2090,
99790,Fairbanks North Star Borough,AK,2090,
99827,Haines Borough,AK,2100,
99820,Hoonah-Angoon Census Area,AK,2105,
99825,Hoonah-Angoon Census Area,AK,2105,
99826,Hoonah-Angoon Census Area,AK,2105,
99829,Hoonah-Angoon Census Area,AK,2105,
99832,Hoonah-Angoon Census Area,AK,2105,
99841,Hoonah-Angoon Census Area,AK,2105,
99801,Juneau City and Borough,AK,2110,
99811,Juneau City and Borough,AK,2110,
99824,Juneau City and Borough,AK,2110,
99556,Kenai Peninsula Borough,AK,2122,
99568,Kenai Peninsula Borough,AK,2122,
99572,Kenai Peninsula Borough,AK,2122,
99603,Kenai Peninsula Borough,AK,2122,
99605,Kenai Peninsula Borough,AK,2122,
99610,Kenai Peninsula Borough,AK,2122,
99611,Kenai Peninsula Borough,AK,2122,
99631,Kenai Peninsula Borough,AK,2122,
99635,Kenai Peninsula Borough,AK,2122,
99639,Kenai Peninsula Borough,AK,2122,
99663,Kenai Peninsula Borough,AK,2122,
99664,Kenai Peninsula Borough,AK,2122,
99669,Kenai Peninsula Borough,AK,2122,
99672,Kenai Peninsula Borough,AK,2122,
99682,Kenai Peninsula Borough,AK,2122,
99901,Ketchikan Gateway Borough,AK,2130,
99928,Ketchikan Gateway Borough,AK,2130,
99550,Kodiak Island Borough,AK,2150,
99608,Kodiak Island Borough,AK,2150,
99615,Kodiak Island Borough,AK,2150,
99624,Kodiak Island Borough,AK,2150,
99643,Kodiak Island Borough,AK,2150,
99644,Kodiak Island Borough,AK,2150,
99548,Lake and Peninsula Borough,AK,2164,
99549,Lake and Peninsula Borough,AK,2164,
99564,Lake and Peninsula Borough,AK,2164,
99565,Lake and Peninsula Borough,AK,2164,
99579,Lake and Peninsula Borough,AK,2164,
99606,Lake and Peninsula Borough,AK,2164,
99625,Lake and Peninsula Borough,AK,2164,
99640,Lake and Peninsula Borough,AK,2164,
99647,Lake and Peninsula Borough,AK,2164,
99648,Lake and Peninsula Borough,AK,2164,
99649,Lake and Peninsula Borough,AK,2164,
99653,Lake and Peninsula Borough,AK,2164,
99623,Matanuska-Susitna Borough,AK,2170,
99645,Matanuska-Susitna Borough,AK,2170,
99652,Matanuska-Susitna Borough,AK,2170,
99654,Matanuska-Susitna Borough,AK,2170,
99667,Matanuska-Susitna Borough,AK,2170,
99674,Matanuska-Susitna Borough,AK,2170,
99676,Matanuska-Susitna Borough,AK,2170,
99683,Matanuska-Susitna Borough,AK,2170,
99687,Matanuska-Susitna Borough,AK,2170,
99688,Matanuska-Susitna Borough,AK,2170,
99694,Matanuska-Susitna Borough,AK,2170,
99659,Nome Census Area,AK,2180,
99671,Nome Census Area,AK,2180,
99684,Nome Census Area,AK,2180,
99739,Nome Census Area,AK,2180,
99742,Nome Census Area,AK,2180,
99753,Nome Census Area,AK,2180,
99762,Nome Census Area,AK,2180,
99769,Nome Census Area,AK,2180,
99771,Nome Census Area,AK,2180,
99772,Nome Census Area,AK,2180,
99778,Nome Census Area,AK,2180,
99783,Nome Census Area,AK,2180,
99784,Nome Census Area,AK,2180,
99785,Nome Census Area,AK,2180,
99721,North Slope Borough,AK,2185,
99723,North Slope Borough,AK,2185,
99734,North Slope Borough,AK,2185,
99747,North Slope Borough,AK,2185,
99759,North Slope Borough,AK,2185,
99766,North Slope Borough,AK,2185,
99782,North Slope Borough,AK,2185,
99789,North Slope Borough,AK,2185,
99791,North Slope Borough,AK,2185,
99727,Northwest Arctic Borough,AK,2188,
99736,Northwest Arctic Borough,AK,2188,
99749,Northwest Arctic Borough,AK,2188,
99750,Northwest Arctic Borough,AK,2188,
99751,Northwest Arctic Borough,AK,2188,
99752,Northwest Arctic Borough,AK,2188,
99761,Northwest Arctic Borough,AK,2188,
99763,Northwest Arctic Borough,AK,2188,
99770,Northwest Arctic Borough,AK,2188,
99773,Northwest Arctic Borough,AK,2188,
99786,Northwest Arctic Borough,AK,2188,
99830,Petersburg Census Area,AK,2195,
99833,Petersburg Census Area,AK,2195,
99836,Petersburg Census Area,AK,2195,
99918,Prince of Wales-Hyder Census Area,AK,2198,
99919,Prince of Wales-Hyder Census Area,AK,2198,
99921,Prince of Wales-Hyder Census Area,AK,2198,
99922,Prince of Wales-Hyder Census Area,AK,2198,
99923,Prince of Wales-Hyder Census Area,AK,2198,
99925,Prince of Wales-Hyder Census Area,AK,2198,
99926,Prince of Wales-Hyder Census Area,AK,2198,
99927,Prince of Wales-Hyder Census Area,AK,2198,
99835,Sitka City and Borough,AK,2220,
99840,Skagway Municipality,AK,2230,
99731,Southeast Fairbanks Census Area,AK,2240,
99732,Southeast Fairbanks Census Area,AK,2240,
99737,Southeast Fairbanks Census Area,AK,2240,
99738,Southeast Fairbanks Census Area,AK,2240,
99764,Southeast Fairbanks Census Area,AK,2240,
99776,Southeast Fairbanks Census Area,AK,2240,
99780,Southeast Fairbanks Census Area,AK,2240,
99566,Valdez-Cordova Census Area,AK,2261,
99573,Valdez-Cordova Census Area,AK,2261,
99574,Valdez-Cordova Census Area,AK,2261,
99586,Valdez-Cordova Census Area,AK,2261,
99588,Valdez-Cordova Census Area,AK,2261,
99677,Valdez-Cordova Census Area,AK,2261,
99686,Valdez-Cordova Census Area,AK,2261,
99693,Valdez-Cordova Census Area,AK,2261,
99554,Wade Hampton Census Area,AK,2270,
99563,Wade Hampton Census Area,AK,2270,
99581,Wade Hampton Census Area,AK,2270,
99585,Wade Hampton Census Area,AK,2270,
99604,Wade Hampton Census Area,AK,2270,
99620,Wade Hampton Census Area,AK,2270,
99632,Wade Hampton Census Area,AK,2270,
99650,Wade Hampton Census Area,AK,2270,
99657,Wade Hampton Census Area,AK,2270,
99658,Wade Hampton Census Area,AK,2270,
99662,Wade Hampton Census Area,AK,2270,
99666,Wade Hampton Census Area,AK,2270,
99903,Wrangell City and Borough,AK,2275,
99929,Wrangell City and Borough,AK,2275,
99689,Yakutat City and Borough,AK,2282,
99558,Yukon-Koyukuk Census Area,AK,2290,
99590,Yukon-Koyukuk Census Area,AK,2290,
99602,Yukon-Koyukuk Census Area,AK,2290,
99627,Yukon-Koyukuk Census Area,AK,2290,
99665,Yukon-Koyukuk Census Area,AK,2290,
99675,Yukon-Koyukuk Census Area,AK,2290,
99691,Yukon-Koyukuk Census Area,AK,2290,
99704,Yukon-Koyukuk Census Area,AK,2290,
99720,Yukon-Koyukuk Census Area,AK,2290,
99722,Yukon-Koyukuk Census Area,AK,2290,
99724,Yukon-Koyukuk Census Area,AK,2290,
99726,Yukon-Koyukuk Census Area,AK,2290,
99730,Yukon-Koyukuk Census Area,AK,2290,
99733,Yukon-Koyukuk Census Area,AK,2290,
99740,Yukon-Koyukuk Census Area,AK,2290,
99741,Yukon-Koyukuk Census Area,AK,2290,
99745,Yukon-Koyukuk Census Area,AK,2290,
99746,Yukon-Koyukuk Census Area,AK,2290,
99748,Yukon-Koyukuk Census Area,AK,2290,
99754,Yukon-Koyukuk Census Area,AK,2290,
99756,Yukon-Koyukuk Census Area,AK,2290,
99757,Yukon-Koyukuk Census Area,AK,2290,
99758,Yukon-Koyukuk Census Area,AK,2290,
99760,Yukon-Koyukuk Census Area,AK,2290,
99765,Yukon-Koyukuk Census Area,AK,2290,
99767,Yukon-Koyukuk Census Area,AK,2290,
99768,Yukon-Koyukuk Census Area,AK,2290,
99774,Yukon-Koyukuk Census Area,AK,2290,
99777,Yukon-Koyukuk Census Area,AK,2290,
99781,Yukon-Koyukuk Census Area,AK,2290,
99788,Yukon-Koyukuk Census Area,AK,2290,
90001,Los Angeles,CA,6037,
90002,Los Angeles,CA,6037,
90003,Los Angeles,CA,6037,
90004,Los Angeles,CA,6037,
90005,Los Angeles,CA,6037,
90006,Los Angeles,CA,6037,
90007,Los Angeles,CA,6037,
90008,Los Angeles,CA,6037,
90009,Los Angeles,CA,6037,
90010,Los Angeles,CA,6037,
90011,Los Angeles,CA,6037,
90012,Los Angeles,CA,6037,
90013,Los Angeles,CA,6037,
90014,Los Angeles,CA,6037,
90015,Los Angeles,CA,6037,
90016,Los Angeles,CA,6037,
90017,Los Angeles,CA,6037,
90018,Los Angeles,CA,6037,
90019,Los Angeles,CA,6037,
90020,Los Angeles,CA,6037,
90021,Los Angeles,CA,6037,
90022,Los Angeles,CA,6037,
90023,Los Angeles,CA,6037,
90024,Los Angeles,CA,6037,
90025,Los Angeles,CA,6037,
90026,Los Angeles,CA,6037,
90027,Los Angeles,CA,6037,
90028,Los Angeles,CA,6037,
90029,Los Angeles,CA,6037,
90030,Los Angeles,CA,6037,
90031,Los Angeles,CA,6037,
90032,Los Angeles,CA,6037,
90033,Los Angeles,CA,6037,
90034,Los Angeles,CA,6037,
90035,Los Angeles,CA,6037,
90036,Los Angeles,CA,6037,
90037,Los Angeles,CA,6037,
