State,Zip,Age,Unsubsidized Cost
al,99827,30,0
al,72131,30,0
al,85645,30,0
al,94303,30,0
al,93623,30,0
al,80817,30,0
al,80010,30,0
al,80513,30,0
al,81136,30,0
al,81137,30,0
al,6250,30,0
al,32456,30,0
al,32448,30,0
al,34134,30,0
al,34266,30,0
al,32145,30,0
al,32643,30,0
al,33935,30,0
al,33471,30,0
al,34605,30,0
al,32452,30,0
al,32702,30,0
al,32696,30,0
al,34973,30,0
al,32792,30,0
al,33559,30,0
al,32640,30,0
al,32792,30,0
al,32081,30,0
al,32054,30,0
al,32437,30,0
al,31721,30,0
al,30666,30,0
al,30441,30,0
al,31510,30,0
al,31805,30,0
al,30543,30,0
al,31552,30,0
al,30753,30,0
al,31557,30,0
al,31798,30,0
al,31087,30,0
al,50276,30,0
al,50039,30,0
al,50568,30,0
al,50155,30,0
al,52569,30,0
al,52332,30,0
al,52101,30,0
al,83204,30,0
al,83402,30,0
al,83616,30,0
al,83735,30,0
al,83830,30,0
al,60416,30,0
al,61114,30,0
al,62086,30,0
al,46307,30,0
al,47970,30,0
al,46065,30,0
al,47338,30,0
al,46171,30,0
al,46147,30,0
al,47024,30,0
al,46164,30,0
al,47060,30,0
al,66937,30,0
al,67567,30,0
al,66772,30,0
al,42743,30,0
al,40372,30,0
al,40353,30,0
al,70339,30,0
al,70515,30,0
al,70346,30,0
al,71465,30,0
al,71251,30,0
al,20714,30,0
al,21539,30,0
al,48433,30,0
al,48837,30,0
al,49078,30,0
al,48837,30,0
al,48612,30,0
al,48738,30,0
al,55963,30,0
al,55720,30,0
al,56068,30,0
al,56236,30,0
al,55038,30,0
al,64430,30,0
al,64752,30,0
al,64748,30,0
al,63937,30,0
al,38642,30,0
al,39059,30,0
al,39403,30,0
al,39573,30,0
al,39121,30,0
al,59736,30,0
al,28622,30,0
al,28678,30,0
al,28623,30,0
al,28040,30,0
al,27265,30,0
al,27284,30,0
al,27229,30,0
al,28382,30,0
al,27565,30,0
al,27253,30,0
al,27967,30,0
al,27816,30,0
al,27829,30,0
al,27860,30,0
al,58078,30,0
al,58203,30,0
al,58562,30,0
al,68314,30,0
al,69146,30,0
al,3226,30,0
al,8404,30,0
al,89496,30,0
al,13790,30,0
al,45064,30,0
al,45697,30,0
al,44814,30,0
al,44827,30,0
al,45678,30,0
al,43804,30,0
al,43901,30,0
al,74028,30,0
al,74960,30,0
al,97321,30,0
al,97756,30,0
al,97814,30,0
al,16720,30,0
al,15559,30,0
al,17011,30,0
al,29808,30,0
al,29445,30,0
al,29160,30,0
al,29702,30,0
al,29472,30,0
al,29161,30,0
al,29426,30,0
al,29860,30,0
al,29442,30,0
al,29649,30,0
al,29944,30,0
al,29927,30,0
al,29032,30,0
al,29104,30,0
al,29845,30,0
al,29075,30,0
al,29630,30,0
al,29036,30,0
al,29006,30,0
al,29356,30,0
al,29128,30,0
al,29056,30,0
al,57574,30,0
al,57010,30,0
al,57328,30,0
al,37379,30,0
al,38017,30,0
al,37016,30,0
al,37360,30,0
al,78336,30,0
al,77833,30,0
al,76534,30,0
al,75603,30,0
al,76901,30,0
al,78026,30,0
al,75790,30,0
al,76624,30,0
al,76360,30,0
al,75802,30,0
al,84757,30,0
al,84751,30,0
al,24128,30,0
al,22801,30,0
al,24202,30,0
al,24533,30,0
al,24155,30,0
al,23149,30,0
al,5778,30,0
al,98601,30,0
al,54703,30,0
al,54624,30,0
al,54452,30,0
al,53014,30,0
al,53578,30,0
al,53964,30,0
al,25541,30,0
al,26855,30,0
al,26405,30,0
al,25241,30,0
al,26062,30,0
al,82329,30,0
