State,Zip,Age,Unsubsidized Cost
AK,99506,0,613
AK,99757,0,631
AK,99801,0,600
AL,36250,0,297
AL,36652,0,ERROR
AL,36119,0,316
AL,35458,0,297
AL,36553,0,315
AL,36865,0,341
AL,35182,0,324
AL,36871,0,341
AL,35643,0,326
AL,36320,0,312
AL,35645,0,326
AL,35990,0,311
AL,35804,0,339
AR,72856,0,463
AR,72564,0,463
AR,72739,0,463
AR,71910,0,463
AR,72182,0,463
AR,71724,0,463
AR,72926,0,463
AZ,86429,0,539
AZ,86332,0,524
AZ,85357,0,551
AZ,85392,0,290
AZ,85131,0,299
AZ,85730,0,269
AZ,85536,0,402
CA,95712,0,501
CA,95387,0,372
CA,93611,0,335
CA,93009,0,377
CA,92251,0,348
CA,93390,0,335
CA,90610,0,277
CA,92864,0,ERROR
CA,92501,0,278
CA,92707,0,312
CA,92173,0,293
CA,95472,0,386
CA,95815,0,382
CA,94109,0,436
CA,94807,0,468
CA,94538,0,435
CA,95051,0,390
CA,94037,0,472
CA,93901,0,532
CO,80026,0,305
CO,80905,0,320
CO,80124,0,305
CO,80526,0,324
CO,81507,0,333
CO,80754,0,326
CO,81006,0,335
CO,81248,0,510
CO,80479,0,377
CT,6880,0,558
CT,6137,0,477
CT,6785,0,516
CT,6457,0,515
CT,6513,0,515
CT,6385,0,516
CT,6075,0,516
CT,6281,0,516
DC,20410,0,409
DE,19898,0,414
FL,32609,0,439
FL,32050,0,425
FL,34116,0,437
FL,32038,0,465
FL,34268,0,426
FL,32628,0,467
FL,32226,0,408
FL,32508,0,401
FL,32143,0,417
FL,32322,0,391
FL,32351,0,407
FL,32063,0,421
FL,32619,0,470
FL,33944,0,491
FL,32053,0,756
FL,33890,0,524
FL,33975,0,491
FL,34607,0,393
FL,33871,0,402
FL,33594,0,386
FL,32452,0,394
FL,32444,0,409
FL,32962,0,354
FL,32446,0,463
FL,32345,0,370
FL,32066,0,593
FL,34736,0,397
FL,33973,0,427
FL,32399,0,ERROR
FL,32626,0,444
FL,32360,0,396
FL,32340,0,391
FL,32042,0,439
FL,34211,0,422
FL,34472,0,415
FL,34956,0,422
FL,33243,0,408
FL,33040,0,761
FL,32034,0,467
FL,32536,0,427
FL,34973,0,491
FL,32710,0,407
FL,34743,0,399
FL,32910,0,342
FL,33410,0,404
FL,34669,0,395
FL,33732,0,384
FL,33844,0,396
FL,32185,0,439
FL,32583,0,453
FL,34229,0,430
FL,32707,0,418
FL,32004,0,417
FL,34947,0,469
FL,33314,0,405
FL,34785,0,385
FL,32071,0,462
FL,32347,0,491
FL,32697,0,569
FL,32121,0,409
FL,32326,0,365
FL,32433,0,425
FL,32463,0,538
FL,32424,0,376
FL,33951,0,421
FL,34442,0,420
GA,39870,0,351
GA,30566,0,318
GA,31535,0,292
GA,31004,0,353
GA,30177,0,310
GA,31405,0,396
GA,31604,0,301
GA,31054,0,368
GA,30602,0,424
GA,30396,0,377
GA,30140,0,370
GA,30822,0,396
GA,31546,0,326
GA,30757,0,373
GA,30286,0,389
GA,30719,0,368
HI,96850,0,ERROR
IA,50075,0,277
IA,50311,0,275
IA,51012,0,299
IA,51578,0,337
IA,52335,0,310
IA,52004,0,286
IA,52166,0,290
ID,83283,0,298
ID,83346,0,307
ID,83460,0,286
ID,83553,0,289
ID,83630,0,292
ID,83735,0,292
ID,83847,0,290
IL,60684,0,302
IL,62551,0,558
IL,62292,0,486
IL,62289,0,378
IL,62461,0,789
IL,60035,0,352
IL,60561,0,325
IL,60442,0,306
IL,61065,0,533
IL,61418,0,503
IL,61615,0,542
IL,61790,0,665
IL,61941,0,746
IN,46304,0,295
IN,46075,0,281
